Date,TIME,YYYY,MM,DD,HH,MIN,DOW,SEVERITY,ACCIDENT_T,ACCIDENT_D,VEHICLES,CASUALTIES,PEDESTRIAN,CYCLES,MCYCLES,CHILDREN,OAPS,RENDER,Location 1
01/19/2011 12:00:00 AM,08:25,2011,1,19,8,25,2,Slight Injury,NT,Nose to Tail Collision,2,1,0,0,0,0,0,CARS,"(51.421754, -2.5301138999999999)"
01/15/2011 12:00:00 AM,13:00,2011,1,15,13,0,5,Slight Injury,NT,Nose to Tail Collision,3,4,0,0,0,1,0,CARS,"(51.470705000000002, -2.5646583999999999)"
01/20/2011 12:00:00 AM,16:30,2011,1,20,16,30,3,Slight Injury,PV,Public Service Vehicle Passenger Injury - No Collision,1,1,0,0,0,0,1,CARS,"(51.464033000000001, -2.6095603999999999)"
01/12/2011 12:00:00 AM,18:16,2011,1,12,18,16,2,Slight Injury,J1,Turning movement from major road,2,1,0,1,0,0,0,CYC,"(51.468691, -2.5937142999999998)"
01/18/2011 12:00:00 AM,09:10,2011,1,18,9,10,1,Slight Injury,J,Turning movement with unidentified Priority,2,1,0,1,0,0,0,CYC,"(51.446919000000001, -2.5817618000000002)"
01/14/2011 12:00:00 AM,22:10,2011,1,14,22,10,4,Slight Injury,LC,Loss Of Control,2,1,0,1,0,0,0,CYC,"(51.456110000000002, -2.6080155)"
01/08/2011 12:00:00 AM,00:46,2011,1,8,0,46,5,Slight Injury,NT,Nose to Tail Collision,2,1,0,1,0,0,0,CYC,"(51.427782999999998, -2.5747439999999999)"
01/18/2011 12:00:00 AM,15:05,2011,1,18,15,5,1,Slight Injury,E,Elderly Pedestrian Injury,1,1,1,0,0,0,1,E,"(51.458908999999998, -2.5953577999999999)"
01/12/2011 12:00:00 AM,22:40,2011,1,12,22,40,2,Slight Injury,A,Adult Pedestrian Injury,1,1,1,0,0,0,0,A,"(51.465820999999998, -2.5903949000000002)"
01/08/2011 12:00:00 AM,15:06,2011,1,8,15,6,5,Slight Injury,LC,Loss Of Control,2,3,0,0,0,0,1,CARS,"(51.445945000000002, -2.6241835999999998)"
01/11/2011 12:00:00 AM,14:40,2011,1,11,14,40,1,Slight Injury,NT,Nose to Tail Collision,3,2,0,0,0,0,0,CARS,"(51.449846000000001, -2.6159477999999998)"
01/13/2011 12:00:00 AM,20:10,2011,1,13,20,10,3,Slight Injury,O,Overtaking,3,2,0,0,0,0,0,CARS,"(51.433591999999997, -2.5874760999999999)"
01/17/2011 12:00:00 AM,16:36,2011,1,17,16,36,0,Slight Injury,J2,Turning movement from minor road,2,1,0,1,0,0,1,CYC,"(51.449644999999997, -2.5759539999999999)"
01/13/2011 12:00:00 AM,08:00,2011,1,13,8,0,3,Slight Injury,J1,Turning movement from major road,2,1,0,1,0,0,0,CYC,"(51.449331000000001, -2.5885128000000002)"
01/27/2011 12:00:00 AM,08:55,2011,1,27,8,55,3,Slight Injury,A,Adult Pedestrian Injury,1,1,1,0,0,0,0,A,"(51.448253999999999, -2.5862397000000001)"
01/27/2011 12:00:00 AM,20:00,2011,1,27,20,0,3,Slight Injury,J,Turning movement with unidentified Priority,2,1,0,1,0,0,0,CYC,"(51.441262000000002, -2.6273426)"
01/17/2011 12:00:00 AM,08:25,2011,1,17,8,25,0,Slight Injury,J2,Turning movement from minor road,2,1,0,0,1,0,0,MCYC,"(51.449759999999998, -2.5707892000000001)"
01/15/2011 12:00:00 AM,22:35,2011,1,15,22,35,5,Serious Injury,A,Adult Pedestrian Injury,1,2,1,0,1,0,0,A,"(51.469904999999997, -2.5936436999999999)"
01/19/2011 12:00:00 AM,13:42,2011,1,19,13,42,2,Slight Injury,J2,Turning movement from minor road,2,1,0,1,0,0,0,CYC,"(51.492894, -2.5833265999999999)"
01/28/2011 12:00:00 AM,21:50,2011,1,28,21,50,4,Slight Injury,LC,Loss Of Control,2,1,0,0,0,0,0,CARS,"(51.462811000000002, -2.5375711000000001)"
01/30/2011 12:00:00 AM,09:30,2011,1,30,9,30,6,Slight Injury,NT,Nose to Tail Collision,2,1,0,0,0,0,0,CARS,"(51.449024000000001, -2.5869403000000002)"
01/13/2011 12:00:00 AM,09:00,2011,1,13,9,0,3,Slight Injury,J2,Turning movement from minor road,2,1,0,0,1,0,0,MCYC,"(51.490647000000003, -2.5380569999999998)"
01/19/2011 12:00:00 AM,16:08,2011,1,19,16,8,2,Slight Injury,O,Overtaking,2,1,0,0,1,0,0,MCYC,"(51.473238000000002, -2.5519330999999998)"
01/13/2011 12:00:00 AM,07:20,2011,1,13,7,20,3,Slight Injury,J2,Turning movement from minor road,2,1,0,0,0,0,0,CARS,"(51.460849000000003, -2.5419238000000002)"
01/13/2011 12:00:00 AM,18:07,2011,1,13,18,7,3,Slight Injury,J1,Turning movement from major road,2,1,0,1,0,0,0,CYC,"(51.461494999999999, -2.5670492)"
01/25/2011 12:00:00 AM,20:00,2011,1,25,20,0,1,Slight Injury,E,Elderly Pedestrian Injury,1,1,1,0,0,0,1,E,"(51.470198000000003, -2.5943673999999999)"
01/21/2011 12:00:00 AM,17:30,2011,1,21,17,30,4,Slight Injury,NT,Nose to Tail Collision,3,1,0,0,0,0,0,CARS,"(51.462699000000001, -2.5708787000000002)"
01/21/2011 12:00:00 AM,11:50,2011,1,21,11,50,4,Slight Injury,J2,Turning movement from minor road,2,1,0,0,1,0,0,MCYC,"(51.457853999999998, -2.5632187000000002)"
01/21/2011 12:00:00 AM,07:00,2011,1,21,7,0,4,Slight Injury,J,Turning movement with unidentified Priority,2,1,0,0,0,0,0,CARS,"(51.439563999999997, -2.6236074)"
02/02/2011 12:00:00 AM,08:45,2011,2,2,8,45,2,Slight Injury,J2,Turning movement from minor road,2,1,0,1,0,0,0,CYC,"(51.498848000000002, -2.5794266000000001)"
01/23/2011 12:00:00 AM,01:10,2011,1,23,1,10,6,Fatal Injury,A,Adult Pedestrian Injury,1,1,1,0,0,0,0,A,"(51.481703000000003, -2.5256536000000001)"
02/03/2011 12:00:00 AM,22:15,2011,2,3,22,15,3,Slight Injury,LC,Loss Of Control,1,1,0,0,1,0,0,MCYC,"(51.438816000000003, -2.5982327999999999)"
02/02/2011 12:00:00 AM,08:45,2011,2,2,8,45,2,Slight Injury,NONE,Other,2,1,0,1,0,0,0,CYC,"(51.450054000000002, -2.5967823000000001)"
01/31/2011 12:00:00 AM,09:00,2011,1,31,9,0,0,Slight Injury,NT,Nose to Tail Collision,2,1,0,0,0,0,0,CARS,"(51.471018000000001, -2.5593640999999998)"
01/25/2011 12:00:00 AM,14:20,2011,1,25,14,20,1,Slight Injury,J2,Turning movement from minor road,2,1,0,0,0,0,0,CARS,"(51.432212999999997, -2.5336873999999998)"
01/29/2011 12:00:00 AM,17:45,2011,1,29,17,45,5,Slight Injury,NONE,Other,4,1,0,0,0,0,0,CARS,"(51.456806999999998, -2.5291527)"
02/10/2011 12:00:00 AM,13:41,2011,2,10,13,41,3,Slight Injury,J2,Turning movement from minor road,2,1,0,0,1,0,1,MCYC,"(51.470353000000003, -2.5741991999999998)"
02/14/2011 12:00:00 AM,16:45,2011,2,14,16,45,0,Slight Injury,A,Adult Pedestrian Injury,1,1,1,0,0,0,0,A,"(51.461865000000003, -2.5904446000000001)"
02/10/2011 12:00:00 AM,08:55,2011,2,10,8,55,3,Serious Injury,J,Turning movement with unidentified Priority,2,1,0,1,0,1,0,CYC,"(51.457658000000002, -2.5513564999999998)"
02/04/2011 12:00:00 AM,15:05,2011,2,4,15,5,4,Slight Injury,C,Child Pedestrian Injury,1,1,1,0,0,1,0,C,"(51.490907999999997, -2.6690307999999998)"
02/03/2011 12:00:00 AM,08:00,2011,2,3,8,0,3,Slight Injury,C,Child Pedestrian Injury,1,1,1,0,0,1,0,C,"(51.440548999999997, -2.6108446000000001)"
02/03/2011 12:00:00 AM,20:22,2011,2,3,20,22,3,Slight Injury,A,Adult Pedestrian Injury,1,2,1,0,1,0,0,A,"(51.474834999999999, -2.6106978999999999)"
02/12/2011 12:00:00 AM,21:45,2011,2,12,21,45,5,Slight Injury,J1,Turning movement from major road,2,1,0,0,0,1,0,CARS,"(51.411479, -2.6193716)"
02/14/2011 12:00:00 AM,17:20,2011,2,14,17,20,0,Slight Injury,J1,Turning movement from major road,2,1,0,1,0,0,0,CYC,"(51.462971000000003, -2.5849025000000001)"
02/01/2011 12:00:00 AM,14:52,2011,2,1,14,52,1,Slight Injury,NONE,Other,2,1,0,0,0,0,0,CARS,"(51.454757000000001, -2.6174963)"
02/07/2011 12:00:00 AM,16:10,2011,2,7,16,10,0,Slight Injury,NT,Nose to Tail Collision,2,1,0,1,0,0,0,CYC,"(51.457073999999999, -2.6077549000000002)"
02/14/2011 12:00:00 AM,17:00,2011,2,14,17,0,0,Slight Injury,J1,Turning movement from major road,2,1,0,1,0,0,0,CYC,"(51.480269, -2.5889543000000002)"
02/13/2011 12:00:00 AM,17:00,2011,2,13,17,0,6,Slight Injury,LC,Loss Of Control,1,1,0,0,0,0,0,CARS,"(51.482779000000001, -2.6132089999999999)"
02/07/2011 12:00:00 AM,21:50,2011,2,7,21,50,0,Slight Injury,NONE,Other,2,1,0,1,0,0,0,CYC,"(51.464618000000002, -2.5899763)"
02/09/2011 12:00:00 AM,13:00,2011,2,9,13,0,2,Slight Injury,NONE,Other,2,1,0,1,0,0,0,CYC,"(51.466545000000004, -2.5822561999999998)"
02/17/2011 12:00:00 AM,17:01,2011,2,17,17,1,3,Slight Injury,O,Overtaking,2,1,0,1,0,0,0,CYC,"(51.451276999999997, -2.5526468000000002)"
01/23/2011 12:00:00 AM,14:45,2011,1,23,14,45,6,Slight Injury,J,Turning movement with unidentified Priority,2,1,0,0,0,0,0,CARS,"(51.458109999999998, -2.5715267000000002)"
02/18/2011 12:00:00 AM,10:00,2011,2,18,10,0,4,Slight Injury,J2,Turning movement from minor road,2,1,0,0,0,0,0,CARS,"(51.443384999999999, -2.6101918)"
02/05/2011 12:00:00 AM,22:10,2011,2,5,22,10,5,Slight Injury,A,Adult Pedestrian Injury,1,1,1,0,0,0,0,A,"(51.462193999999997, -2.6087729)"
02/16/2011 12:00:00 AM,08:00,2011,2,16,8,0,2,Slight Injury,J,Turning movement with unidentified Priority,2,1,0,0,0,0,0,CARS,"(51.446998999999998, -2.5819931)"
02/02/2011 12:00:00 AM,19:10,2011,2,2,19,10,2,Slight Injury,A,Adult Pedestrian Injury,1,1,1,0,0,0,0,A,"(51.488531999999999, -2.5818449999999999)"
02/18/2011 12:00:00 AM,23:45,2011,2,18,23,45,4,Slight Injury,J,Turning movement with unidentified Priority,2,1,0,0,0,0,0,CARS,"(51.510824, -2.6011354999999998)"
02/17/2011 12:00:00 AM,17:20,2011,2,17,17,20,3,Slight Injury,NT,Nose to Tail Collision,2,1,0,0,0,0,0,CARS,"(51.472822000000001, -2.5581622999999998)"
02/17/2011 12:00:00 AM,19:55,2011,2,17,19,55,3,Slight Injury,J,Turning movement with unidentified Priority,2,3,0,0,0,0,0,CARS,"(51.465640999999998, -2.5760977999999999)"
02/10/2011 12:00:00 AM,14:40,2011,2,10,14,40,3,Slight Injury,J,Turning movement with unidentified Priority,2,1,0,0,0,0,0,CARS,"(51.447578999999998, -2.5827775000000002)"
02/08/2011 12:00:00 AM,08:05,2011,2,8,8,5,1,Slight Injury,NT,Nose to Tail Collision,2,1,0,0,0,0,0,CARS,"(51.457313999999997, -2.6082474000000002)"
02/01/2011 12:00:00 AM,18:15,2011,2,1,18,15,1,Slight Injury,J2,Turning movement from minor road,2,1,0,1,0,0,0,CYC,"(51.456065000000002, -2.6235300000000001)"
02/02/2011 12:00:00 AM,10:45,2011,2,2,10,45,2,Slight Injury,J1,Turning movement from major road,2,1,0,1,0,0,0,CYC,"(51.466169999999998, -2.5906872999999999)"
02/05/2011 12:00:00 AM,13:30,2011,2,5,13,30,5,Slight Injury,NT,Nose to Tail Collision,2,1,0,0,0,0,0,CARS,"(51.463351000000003, -2.6092490000000002)"
02/05/2011 12:00:00 AM,14:00,2011,2,5,14,0,5,Slight Injury,A,Adult Pedestrian Injury,1,1,1,0,0,0,0,A,"(51.443655999999997, -2.5940658000000001)"
02/02/2011 12:00:00 AM,16:35,2011,2,2,16,35,2,Slight Injury,NONE,Other,4,1,0,0,0,0,1,CARS,"(51.488402999999998, -2.6492048000000001)"
01/31/2011 12:00:00 AM,06:40,2011,1,31,6,40,0,Slight Injury,J2,Turning movement from minor road,2,1,0,1,0,0,1,CYC,"(51.466960999999998, -2.5266502000000002)"
01/31/2011 12:00:00 AM,09:02,2011,1,31,9,2,0,Slight Injury,J2,Turning movement from minor road,2,1,0,0,2,0,0,MCYC,"(51.458019999999998, -2.5660273999999998)"
01/31/2011 12:00:00 AM,18:20,2011,1,31,18,20,0,Slight Injury,PV,Public Service Vehicle Passenger Injury - No Collision,1,2,0,0,0,0,0,CARS,"(51.467927000000003, -2.5918329)"
01/27/2011 12:00:00 AM,09:15,2011,1,27,9,15,3,Slight Injury,NONE,Other,1,1,0,0,0,0,0,CARS,"(51.459527999999999, -2.5684209999999998)"
01/31/2011 12:00:00 AM,16:35,2011,1,31,16,35,0,Slight Injury,NT,Nose to Tail Collision,2,1,0,0,1,0,0,MCYC,"(51.427056, -2.5286506000000002)"
01/26/2011 12:00:00 AM,15:25,2011,1,26,15,25,2,Slight Injury,J,Turning movement with unidentified Priority,2,1,0,1,1,0,0,CYC,"(51.463093999999998, -2.5710996000000002)"
02/02/2011 12:00:00 AM,17:47,2011,2,2,17,47,2,Slight Injury,E,Elderly Pedestrian Injury,1,1,1,0,0,0,1,E,"(51.506571999999998, -2.6562782)"
02/07/2011 12:00:00 AM,19:10,2011,2,7,19,10,0,Slight Injury,NONE,Other,2,1,0,1,0,0,1,CYC,"(51.459271000000001, -2.5804507999999999)"
02/02/2011 12:00:00 AM,21:40,2011,2,2,21,40,2,Slight Injury,LC,Loss Of Control,1,3,0,0,0,0,0,CARS,"(51.427145000000003, -2.5289825000000001)"
02/08/2011 12:00:00 AM,19:37,2011,2,8,19,37,1,Slight Injury,NT,Nose to Tail Collision,3,1,0,0,0,0,0,CARS,"(51.496673999999999, -2.5809548000000002)"
02/06/2011 12:00:00 AM,01:10,2011,2,6,1,10,6,Slight Injury,J,Turning movement with unidentified Priority,2,2,0,0,0,0,0,CARS,"(51.443238000000001, -2.6226645999999998)"
01/25/2011 12:00:00 AM,11:15,2011,1,25,11,15,1,Slight Injury,NT,Nose to Tail Collision,2,1,0,1,0,0,1,CYC,"(51.460999999999999, -2.6049137999999998)"
02/03/2011 12:00:00 AM,07:30,2011,2,3,7,30,3,Serious Injury,J2,Turning movement from minor road,2,1,0,0,1,0,0,MCYC,"(51.482669000000001, -2.5799991000000002)"
02/04/2011 12:00:00 AM,18:12,2011,2,4,18,12,4,Slight Injury,J2,Turning movement from minor road,2,1,0,0,1,0,0,MCYC,"(51.453164000000001, -2.6142511000000002)"
02/04/2011 12:00:00 AM,08:00,2011,2,4,8,0,4,Slight Injury,O,Overtaking,2,1,0,0,1,0,0,MCYC,"(51.447386999999999, -2.5614351000000002)"
01/27/2011 12:00:00 AM,11:40,2011,1,27,11,40,3,Serious Injury,A,Adult Pedestrian Injury,1,1,1,0,0,0,0,A,"(51.452672999999997, -2.5979822000000001)"
02/07/2011 12:00:00 AM,18:50,2011,2,7,18,50,0,Serious Injury,A,Adult Pedestrian Injury,1,1,1,0,0,0,0,A,"(51.456192999999999, -2.5810162000000001)"
02/11/2011 12:00:00 AM,22:30,2011,2,11,22,30,4,Slight Injury,J2,Turning movement from minor road,2,1,0,0,1,0,0,MCYC,"(51.452280999999999, -2.5883349)"
02/12/2011 12:00:00 AM,12:52,2011,2,12,12,52,5,Slight Injury,NONE,Other,2,2,0,0,0,0,0,CARS,"(51.481814, -2.5269221000000002)"
01/26/2011 12:00:00 AM,13:51,2011,1,26,13,51,2,Slight Injury,NONE,Other,2,1,0,1,0,0,0,CYC,"(51.474499000000002, -2.5776781)"
01/04/2011 12:00:00 AM,11:30,2011,1,4,11,30,1,Slight Injury,NONE,Other,2,1,0,0,0,0,1,CARS,"(51.500942999999999, -2.6579261000000001)"
01/04/2011 12:00:00 AM,13:55,2011,1,4,13,55,1,Slight Injury,J,Turning movement with unidentified Priority,2,1,0,0,0,0,0,CARS,"(51.413905999999997, -2.5933492)"
01/05/2011 12:00:00 AM,07:50,2011,1,5,7,50,2,Slight Injury,J1,Turning movement from major road,2,1,0,1,0,0,0,CYC,"(51.438558999999998, -2.5722752999999998)"
01/01/2011 12:00:00 AM,10:20,2011,1,1,10,20,5,Slight Injury,LC,Loss Of Control,1,2,0,0,0,0,0,CARS,"(51.459159999999997, -2.5718709)"
01/02/2011 12:00:00 AM,14:08,2011,1,2,14,8,6,Slight Injury,NT,Nose to Tail Collision,2,1,0,0,0,0,0,CARS,"(51.451729, -2.5926882999999998)"
01/09/2011 12:00:00 AM,09:25,2011,1,9,9,25,6,Slight Injury,NONE,Other,1,1,0,0,0,0,1,CARS,"(51.436991999999996, -2.6134873999999999)"
01/06/2011 12:00:00 AM,07:50,2011,1,6,7,50,3,Serious Injury,NONE,Other,1,1,0,1,0,0,0,CYC,"(51.441913999999997, -2.6006184999999999)"
01/08/2011 12:00:00 AM,22:42,2011,1,8,22,42,5,Slight Injury,J1,Turning movement from major road,2,1,0,0,0,0,0,CARS,"(51.459150000000001, -2.5553615000000001)"
01/07/2011 12:00:00 AM,08:05,2011,1,7,8,5,4,Slight Injury,J2,Turning movement from minor road,2,1,0,1,0,0,0,CYC,"(51.450828999999999, -2.5654636000000002)"
01/07/2011 12:00:00 AM,14:26,2011,1,7,14,26,4,Slight Injury,J1,Turning movement from major road,2,1,0,0,1,0,0,MCYC,"(51.453598, -2.6016354000000002)"
01/12/2011 12:00:00 AM,15:25,2011,1,12,15,25,2,Slight Injury,PV,Public Service Vehicle Passenger Injury - No Collision,1,1,0,0,0,0,0,CARS,"(51.414658000000003, -2.5460216999999998)"
01/05/2011 12:00:00 AM,07:35,2011,1,5,7,35,2,Serious Injury,LC,Loss Of Control,2,1,0,0,1,0,0,MCYC,"(51.467049000000003, -2.5311859000000001)"
01/08/2011 12:00:00 AM,12:36,2011,1,8,12,36,5,Slight Injury,C,Child Pedestrian Injury,1,1,1,0,0,1,0,C,"(51.480998, -2.5705456999999998)"
01/08/2011 12:00:00 AM,14:50,2011,1,8,14,50,5,Slight Injury,NT,Nose to Tail Collision,2,1,0,1,0,0,0,CYC,"(51.467497999999999, -2.5677715000000001)"
01/04/2011 12:00:00 AM,18:00,2011,1,4,18,0,1,Slight Injury,J,Turning movement with unidentified Priority,2,1,0,0,0,1,0,CARS,"(51.474164000000002, -2.5613462999999999)"
01/12/2011 12:00:00 AM,18:00,2011,1,12,18,0,2,Slight Injury,J,Turning movement with unidentified Priority,2,1,0,0,0,0,0,CARS,"(51.471924999999999, -2.5264913999999998)"
01/05/2011 12:00:00 AM,17:26,2011,1,5,17,26,2,Slight Injury,J2,Turning movement from minor road,2,1,0,1,0,0,0,CYC,"(51.447212999999998, -2.6191643999999998)"
01/09/2011 12:00:00 AM,00:30,2011,1,9,0,30,6,Slight Injury,J2,Turning movement from minor road,2,2,0,0,0,0,0,CARS,"(51.480649999999997, -2.6479857999999998)"
01/08/2011 12:00:00 AM,14:46,2011,1,8,14,46,5,Slight Injury,NT,Nose to Tail Collision,2,1,0,0,0,0,0,CARS,"(51.474417000000003, -2.5612341999999999)"
01/09/2011 12:00:00 AM,15:15,2011,1,9,15,15,6,Serious Injury,J1,Turning movement from major road,2,1,0,1,0,0,0,CYC,"(51.485328000000003, -2.5508549999999999)"
01/02/2011 12:00:00 AM,13:09,2011,1,2,13,9,6,Serious Injury,NONE,Other,2,1,0,1,0,0,0,CYC,"(51.442771, -2.5841406999999998)"
01/07/2011 12:00:00 AM,18:05,2011,1,7,18,5,4,Serious Injury,A,Adult Pedestrian Injury,1,1,1,0,0,0,0,A,"(51.446080000000002, -2.6175087000000001)"
01/12/2011 12:00:00 AM,18:36,2011,1,12,18,36,2,Slight Injury,A,Adult Pedestrian Injury,1,1,1,0,0,0,0,A,"(51.492623000000002, -2.6032582999999998)"
01/04/2011 12:00:00 AM,18:05,2011,1,4,18,5,1,Slight Injury,J,Turning movement with unidentified Priority,2,1,0,0,0,0,0,CARS,"(51.486350000000002, -2.5552168000000002)"
01/12/2011 12:00:00 AM,20:04,2011,1,12,20,4,2,Serious Injury,J1,Turning movement from major road,2,1,0,1,0,0,0,CYC,"(51.459463, -2.5479525999999999)"
02/27/2011 12:00:00 AM,12:20,2011,2,27,12,20,6,Slight Injury,J1,Turning movement from major road,2,1,0,1,0,0,0,CYC,"(51.467091000000003, -2.6076864)"
02/28/2011 12:00:00 AM,18:30,2011,2,28,18,30,0,Serious Injury,J1,Turning movement from major road,2,1,0,1,0,0,0,CYC,"(51.462718000000002, -2.6167544999999999)"
03/04/2011 12:00:00 AM,09:45,2011,3,4,9,45,4,Slight Injury,NT,Nose to Tail Collision,2,3,0,0,0,1,0,CARS,"(51.431787999999997, -2.5649118999999998)"
02/12/2011 12:00:00 AM,22:08,2011,2,12,22,8,5,Slight Injury,NONE,Other,2,1,0,1,0,0,0,CYC,"(51.475361999999997, -2.5646439000000001)"
03/04/2011 12:00:00 AM,16:20,2011,3,4,16,20,4,Slight Injury,J,Turning movement with unidentified Priority,2,1,0,1,0,0,0,CYC,"(51.469127999999998, -2.5979093999999998)"
02/19/2011 12:00:00 AM,20:58,2011,2,19,20,58,5,Slight Injury,J1,Turning movement from major road,2,1,0,0,1,0,1,MCYC,"(51.480528999999997, -2.5765159)"
03/02/2011 12:00:00 AM,08:00,2011,3,2,8,0,2,Serious Injury,J2,Turning movement from minor road,2,1,0,0,1,0,0,MCYC,"(51.435656999999999, -2.5680239)"
01/13/2011 12:00:00 AM,02:20,2011,1,13,2,20,3,Slight Injury,NT,Nose to Tail Collision,2,2,0,0,0,0,0,CARS,"(51.459676000000002, -2.6087538000000001)"
03/08/2011 12:00:00 AM,16:25,2011,3,8,16,25,1,Slight Injury,O,Overtaking,2,1,0,1,0,0,0,CYC,"(51.453367999999998, -2.5868521000000002)"
03/09/2011 12:00:00 AM,15:15,2011,3,9,15,15,2,Slight Injury,PV,Public Service Vehicle Passenger Injury - No Collision,1,1,0,0,0,0,1,CARS,"(51.457974, -2.5916033999999999)"
03/01/2011 12:00:00 AM,16:00,2011,3,1,16,0,1,Slight Injury,A,Adult Pedestrian Injury,1,2,2,0,0,0,0,A,"(51.466368000000003, -2.5799363)"
03/08/2011 12:00:00 AM,08:00,2011,3,8,8,0,1,Slight Injury,J1,Turning movement from major road,2,1,0,1,0,0,0,CYC,"(51.460082, -2.5445918999999999)"
03/12/2011 12:00:00 AM,12:50,2011,3,12,12,50,5,Slight Injury,J2,Turning movement from minor road,2,1,0,0,0,0,0,CARS,"(51.462358000000002, -2.5538314999999998)"
03/09/2011 12:00:00 AM,18:00,2011,3,9,18,0,2,Slight Injury,J2,Turning movement from minor road,2,1,0,1,0,0,0,CYC,"(51.480010999999998, -2.6112565999999999)"
03/14/2011 12:00:00 AM,20:20,2011,3,14,20,20,0,Slight Injury,NT,Nose to Tail Collision,2,1,0,0,0,0,0,CARS,"(51.475588999999999, -2.5661154000000002)"
03/14/2011 12:00:00 AM,17:20,2011,3,14,17,20,0,Slight Injury,NT,Nose to Tail Collision,2,1,0,0,0,0,0,CARS,"(51.507339999999999, -2.6309588000000002)"
03/15/2011 12:00:00 AM,08:15,2011,3,15,8,15,1,Slight Injury,J,Turning movement with unidentified Priority,2,1,0,1,0,0,0,CYC,"(51.497487999999997, -2.5725810999999998)"
03/15/2011 12:00:00 AM,12:35,2011,3,15,12,35,1,Slight Injury,NT,Nose to Tail Collision,2,1,0,0,0,0,0,CARS,"(51.447678000000003, -2.6230848)"
03/07/2011 12:00:00 AM,17:30,2011,3,7,17,30,0,Slight Injury,NT,Nose to Tail Collision,3,1,0,0,0,0,0,CARS,"(51.497782999999998, -2.5964692999999999)"
03/10/2011 12:00:00 AM,09:24,2011,3,10,9,24,3,Slight Injury,J,Turning movement with unidentified Priority,2,1,0,1,0,0,0,CYC,"(51.462223000000002, -2.5538441999999999)"
03/18/2011 12:00:00 AM,11:15,2011,3,18,11,15,4,Slight Injury,NT,Nose to Tail Collision,2,1,0,0,0,0,1,CARS,"(51.415756999999999, -2.5973275999999998)"
03/09/2011 12:00:00 AM,08:37,2011,3,9,8,37,2,Slight Injury,NT,Nose to Tail Collision,2,1,0,0,0,0,0,CARS,"(51.492063000000002, -2.5429132999999999)"
03/15/2011 12:00:00 AM,08:42,2011,3,15,8,42,1,Slight Injury,J,Turning movement with unidentified Priority,2,1,0,1,0,0,0,CYC,"(51.474997000000002, -2.5913197000000001)"
03/09/2011 12:00:00 AM,07:15,2011,3,9,7,15,2,Slight Injury,J2,Turning movement from minor road,2,1,0,0,0,0,0,CARS,"(51.435307999999999, -2.6087750000000001)"
03/10/2011 12:00:00 AM,14:10,2011,3,10,14,10,3,Serious Injury,A,Adult Pedestrian Injury,1,1,1,0,0,0,0,A,"(51.421177, -2.5796659000000002)"
